Wavelength [nm]	Normalized Absorption
380.2608948	0.009323543
380.405304	0.010181759
380.5497131	0.009829058
380.6940918	0.010762393
380.838501	0.010060711
380.9828796	0.011475378
381.1272583	0.010644063
381.271637	0.012862289
381.4160156	0.012423451
381.5603638	0.014186243
381.7047424	0.012763561
381.8490906	0.014622505
381.9934387	0.014204128
382.1377869	0.016713816
382.282135	0.016539253
382.4264832	0.019236381
382.5708008	0.019829892
382.7151489	0.022861836
382.8594666	0.023564661
383.0037842	0.026706638
383.1481018	0.028314181
383.2924194	0.034274475
383.4367065	0.041793953
383.5810242	0.062967617
383.7253113	0.106969717
383.8695984	0.195605048
384.0138855	0.330310607
384.1581421	0.498581585
384.3024292	0.668571161
384.4467163	0.811687315
384.5909729	0.911867383
384.7352295	0.973839161
384.8794861	1
385.0237427	0.994821153
385.1679688	0.937231089
385.3122253	0.820763963
385.4564514	0.646186725
385.6006775	0.450384699
385.7449036	0.270484455
385.8891296	0.141220083
386.0333557	0.063864182
386.1775513	0.030844902
386.3217773	0.017259823
386.4659729	0.014755286
386.6101685	0.012156601
386.754364	0.012984769
386.8985291	0.011183203
387.0427246	0.012408857
387.1868896	0.011089197
387.3310547	0.013024403
387.4752197	0.012145583
387.6193848	0.01291895
387.7635498	0.011332724
387.9077148	0.012228572
388.0518494	0.011440896
388.1959839	0.012685867
388.3401184	0.011364347
388.4842529	0.01246423
388.6283875	0.010982599
388.772522	0.01199878
388.916626	0.010577529
389.06073	0.011542199
389.2048645	0.010016355
389.3489685	0.010970294
389.493042	0.009304084
389.637146	0.010691137
389.7812195	0.009650204
389.9253235	0.011194792
390.069397	0.009912905
390.2134705	0.010975731
390.3575439	0.009997181
390.5015869	0.011296954
390.6456604	0.010254732
390.7897034	0.011338447
390.9337463	0.010243143
391.0777893	0.01121883
391.2218323	0.010180901
391.3658752	0.011321422
391.5099182	0.01046621
391.6539307	0.011654949
391.7979431	0.010558069
391.9419556	0.011590562
392.085968	0.01031912
392.2299805	0.011310833
392.3739624	0.0103247
392.5179749	0.011416143
392.6619568	0.009993748
392.8059387	0.010931518
392.9499207	0.009725895
393.0939026	0.01121883
393.237854	0.010077452
393.3818359	0.010806462
393.5257874	0.009401095
393.6697388	0.010335575
393.8136902	0.009766101
393.9576416	0.011163028
394.1015625	0.010177324
394.2455139	0.011556793
394.3894348	0.010730915
394.5333557	0.012211831
394.6772766	0.010790724
394.8211975	0.011843819
394.9651184	0.01067411
395.1090088	0.01157797
395.2528992	0.010163731
395.3968201	0.01111538
395.5407104	0.009982444
395.6845703	0.010942249
395.8284607	0.009570649
395.9723511	0.010852679
396.1162109	0.009683685
396.2600708	0.01134131
396.4039307	0.010351313
396.5477905	0.011627191
396.6916504	0.010491965
396.8354797	0.011383949
396.9793091	0.010081744
397.1231689	0.011000771
397.2669983	0.010135114
397.4108276	0.011200945
397.5546265	0.010133683
397.6984558	0.01093996
397.8422546	0.009978009
397.9860535	0.01063419
398.1298523	0.009314243
398.2736511	0.010894603
398.41745	0.009830919
398.5612488	0.011183631
398.7050171	0.009851093
398.8487854	0.011364347
398.9925537	0.010638482
399.136322	0.011470943
399.2800903	0.010060997
399.4238281	0.01079287
399.5675964	0.00936933
399.7113342	0.010339008
399.855072	0.009326978
399.9988098	0.010648069
400.1425476	0.009975576
400.2862549	0.010880866
400.4299927	0.009689266
400.5737	0.010732346
400.7174072	0.009317534
400.8611145	0.010781423
401.0048218	0.009197773
401.1485291	0.010469357
401.2922058	0.009049967
401.4358826	0.009721316
401.5795593	0.008666503
401.7232361	0.009711443
401.8669128	0.008954817
402.0105896	0.009898024
402.1542358	0.008680812
402.2978821	0.010256592
402.4415588	0.009632461
402.5852051	0.010851534
402.7288208	0.009150699
402.872467	0.009788709
403.0160828	0.008110909
403.159729	0.00909647
403.3033447	0.008252705
403.4469604	0.010271616
403.5905762	0.009562923
403.7341614	0.01068384
403.8777771	0.009061986
404.0213623	0.010067722
404.1649475	0.008860096
404.3085327	0.010204367
404.4521179	0.00867237
404.5957031	0.009761523
404.7392578	0.008589525
404.8828125	0.009936944
405.0263977	0.008757647
405.1699524	0.009793001
405.3134766	0.008710716
405.4570313	0.009661221
405.6005859	0.008278174
405.7441101	0.009315674
405.8876343	0.007890274
406.0311584	0.009583383
406.1746826	0.009001891
406.3181763	0.010610581
406.4617004	0.008864102
406.6051941	0.009606134
406.7486877	0.008345423
406.8921814	0.009563495
407.035675	0.008224375
407.1791687	0.009622589
407.3226624	0.00851598
407.4661255	0.009842937
407.6095886	0.008534866
407.7530518	0.009285769
407.8965149	0.008082436
408.039978	0.009140683
408.1834106	0.008118493
408.3268433	0.009591253
408.4703064	0.008636742
408.613739	0.01025373
408.7571411	0.008734468
408.9005737	0.009483511
409.0440063	0.008354438
409.1874084	0.009240841
409.3308105	0.007926331
409.4742126	0.009112352
409.6176147	0.008078286
409.7610168	0.009684258
409.9043884	0.008419112
410.0477905	0.009907325
410.1911621	0.00911364
410.3345337	0.01033257
410.4779053	0.009147407
410.6212463	0.010090758
