k1,m,n
9.43826208308365,1.51476521498857,1.93595675992595
5.63591165498735,1.27234949717432,1.72865131615731
9.43826265502559,1.51476524662229,1.93595678880227
6.63872206792821,1.33330587971467,1.77752960581717
9.12191940293776,1.47966701238711,1.902583650525
6.85222634304179,1.35741791081321,1.80024223114188
5.63591094020989,1.27234944432683,1.72865125082601
6.85222634304179,1.35741791081321,1.80024223114188
6.63872206792821,1.33330587971467,1.77752960581717
5.40787003614616,1.24448444455043,1.70143390775225
6.85222634304179,1.35741791081321,1.80024223114188
6.85222634304179,1.35741791081321,1.80024223114188
6.85222634304179,1.35741791081321,1.80024223114188
6.85222634304179,1.35741791081321,1.80024223114188
5.40787003614616,1.24448444455043,1.70143390775225
6.85222634304179,1.35741791081321,1.80024223114188
9.43826265502559,1.51476524662229,1.93595678880227
5.40787003614616,1.24448444455043,1.70143390775225
5.40787003614616,1.24448444455043,1.70143390775225
9.24072308516265,1.49542209551176,1.91718622073408
5.40787073694092,1.24448450884381,1.70143397306938
9.43826208308365,1.51476521498857,1.93595675992595
5.63591165498735,1.27234949717432,1.72865131615731
4.68598106163282,1.18630748712255,1.65226136258014
7.12178927915705,1.38449540961474,1.82673314832725
9.43826208308365,1.51476521498857,1.93595675992595
6.63872047559365,1.33330575659034,1.77752948125957
5.40787003614616,1.24448444455043,1.70143390775225
5.40787003614616,1.24448444455043,1.70143390775225
6.63872206792821,1.33330587971467,1.77752960581717
6.85222634304179,1.35741791081321,1.80024223114188
6.85222634304179,1.35741791081321,1.80024223114188
7.12179001878287,1.3844954624112,1.82673319940673
9.2407234717806,1.49542211809664,1.91718623970517
4.68598106163282,1.18630748712255,1.65226136258014
9.43826265502559,1.51476524662229,1.93595678880227
6.63872206792821,1.33330587971467,1.77752960581717
4.68598106163282,1.18630748712255,1.65226136258014
6.63872206792821,1.33330587971467,1.77752960581717
6.85222634304179,1.35741791081321,1.80024223114188
6.85222634304179,1.35741791081321,1.80024223114188
7.12179001878287,1.3844954624112,1.82673319940673
9.2407234717806,1.49542211809664,1.91718623970517
7.12178927915705,1.38449540961474,1.82673314832725
9.43826265502559,1.51476524662229,1.93595678880227
6.85222634304179,1.35741791081321,1.80024223114188
9.12191940293776,1.47966701238711,1.902583650525
9.43826265502559,1.51476524662229,1.93595678880227
4.68598106163282,1.18630748712255,1.65226136258014
6.85222634304179,1.35741791081321,1.80024223114188
5.63591165498735,1.27234949717432,1.72865131615731
9.2407234717806,1.49542211809664,1.91718623970517
9.72505540973433,1.53808835642141,1.95920338985971
6.85222634304179,1.35741791081321,1.80024223114188
9.43826265502559,1.51476524662229,1.93595678880227
6.85222634304179,1.35741791081321,1.80024223114188
7.12178927915705,1.38449540961474,1.82673314832725
6.63872206792821,1.33330587971467,1.77752960581717
5.63591165498735,1.27234949717432,1.72865131615731
5.63591165498735,1.27234949717432,1.72865131615731
4.68598106163282,1.18630748712255,1.65226136258014
5.63591094020989,1.27234944432683,1.72865125082601
9.43826265502559,1.51476524662229,1.93595678880227
9.24072308516265,1.49542209551176,1.91718622073408
7.12178927915705,1.38449540961474,1.82673314832725
5.63591094020989,1.27234944432683,1.72865125082601
9.24072308516265,1.49542209551176,1.91718622073408
5.63591094020989,1.27234944432683,1.72865125082601
9.12191940293776,1.47966701238711,1.902583650525
7.12179001878287,1.3844954624112,1.82673319940673
5.63591094020989,1.27234944432683,1.72865125082601
6.85222634304179,1.35741791081321,1.80024223114188
6.85222634304179,1.35741791081321,1.80024223114188
9.43826208308365,1.51476521498857,1.93595675992595
7.12179001878287,1.3844954624112,1.82673319940673
6.85222634304179,1.35741791081321,1.80024223114188
6.85222634304179,1.35741791081321,1.80024223114188
9.12191940293776,1.47966701238711,1.902583650525
9.72505540973433,1.53808835642141,1.95920338985971
7.12179001878287,1.3844954624112,1.82673319940673
9.2407234717806,1.49542211809664,1.91718623970517
5.40787003614616,1.24448444455043,1.70143390775225
6.63872047559365,1.33330575659034,1.77752948125957
5.63591165498735,1.27234949717432,1.72865131615731
7.12178927915705,1.38449540961474,1.82673314832725
9.43826265502559,1.51476524662229,1.93595678880227
5.63591094020989,1.27234944432683,1.72865125082601
5.40787073694092,1.24448450884381,1.70143397306938
5.40787073694092,1.24448450884381,1.70143397306938
5.63591165498735,1.27234949717432,1.72865131615731
7.12179001878287,1.3844954624112,1.82673319940673
5.63591165498735,1.27234949717432,1.72865131615731
9.72505540973433,1.53808835642141,1.95920338985971
6.85222634304179,1.35741791081321,1.80024223114188
7.12179001878287,1.3844954624112,1.82673319940673
5.40787003614616,1.24448444455043,1.70143390775225
4.68598106163282,1.18630748712255,1.65226136258014
5.63591094020989,1.27234944432683,1.72865125082601
6.63872047559365,1.33330575659034,1.77752948125957
9.43826265502559,1.51476524662229,1.93595678880227
7.12178927915705,1.38449540961474,1.82673314832725
9.43826265502559,1.51476524662229,1.93595678880227
6.63872206792821,1.33330587971467,1.77752960581717
6.85222634304179,1.35741791081321,1.80024223114188
5.40787073694092,1.24448450884381,1.70143397306938
5.63591094020989,1.27234944432683,1.72865125082601
5.40787003614616,1.24448444455043,1.70143390775225
9.2407234717806,1.49542211809664,1.91718623970517
9.43826265502559,1.51476524662229,1.93595678880227
6.63872206792821,1.33330587971467,1.77752960581717
6.63872047559365,1.33330575659034,1.77752948125957
9.2407234717806,1.49542211809664,1.91718623970517
6.85222634304179,1.35741791081321,1.80024223114188
6.85222634304179,1.35741791081321,1.80024223114188
9.2407234717806,1.49542211809664,1.91718623970517
5.40787003614616,1.24448444455043,1.70143390775225
7.12178927915705,1.38449540961474,1.82673314832725
5.63591165498735,1.27234949717432,1.72865131615731
9.24072308516265,1.49542209551176,1.91718622073408
5.40787073694092,1.24448450884381,1.70143397306938
6.63872206792821,1.33330587971467,1.77752960581717
6.85222634304179,1.35741791081321,1.80024223114188
6.63872206792821,1.33330587971467,1.77752960581717
7.12178927915705,1.38449540961474,1.82673314832725
9.43826208308365,1.51476521498857,1.93595675992595
9.2407234717806,1.49542211809664,1.91718623970517
6.85222634304179,1.35741791081321,1.80024223114188
9.12191940293776,1.47966701238711,1.902583650525
9.2407234717806,1.49542211809664,1.91718623970517
9.43826208308365,1.51476521498857,1.93595675992595
6.63872206792821,1.33330587971467,1.77752960581717
6.63872047559365,1.33330575659034,1.77752948125957
6.63872206792821,1.33330587971467,1.77752960581717
6.85222634304179,1.35741791081321,1.80024223114188
9.12191940293776,1.47966701238711,1.902583650525
9.43826265502559,1.51476524662229,1.93595678880227
7.12178927915705,1.38449540961474,1.82673314832725
7.12178927915705,1.38449540961474,1.82673314832725
6.85222634304179,1.35741791081321,1.80024223114188
6.85222634304179,1.35741791081321,1.80024223114188
6.63872047559365,1.33330575659034,1.77752948125957
5.40787003614616,1.24448444455043,1.70143390775225
9.2407234717806,1.49542211809664,1.91718623970517
5.40787003614616,1.24448444455043,1.70143390775225
6.63872206792821,1.33330587971467,1.77752960581717
6.85222634304179,1.35741791081321,1.80024223114188
6.63872206792821,1.33330587971467,1.77752960581717
5.40787073694092,1.24448450884381,1.70143397306938
5.40787073694092,1.24448450884381,1.70143397306938
9.24072308516265,1.49542209551176,1.91718622073408
