k1,m,n
4.89114174655709,1.13828849282845,2.23093145553975
3.47001736499447,1.03333021823808,1.99419818179714
8.3837649704347,1.44050364812019,2.46307261740448
4.85381903082263,1.19138175278449,2.1661890875175
4.89114174655709,1.13828849282845,2.23093145553975
6.4936696595236,1.32557188531062,2.32131670934036
4.77475528360939,1.16052278021823,2.18291077865563
4.89114174655709,1.13828849282845,2.23093145553975
4.85381903082263,1.19138175278449,2.1661890875175
4.77475528360939,1.16052278021823,2.18291077865563
6.60962652297482,1.31005929255249,2.34843964706472
4.77475528360939,1.16052278021823,2.18291077865563
6.60962652297482,1.31005929255249,2.34843964706472
4.85381903082263,1.19138175278449,2.1661890875175
4.89114233913287,1.13828854381973,2.23093152069976
3.25786032451182,0.980592226848709,1.99686560383019
6.49366946532759,1.32557187239216,2.32131669245155
4.89114233913287,1.13828854381973,2.23093152069976
4.77475528360939,1.16052278021823,2.18291077865563
4.85381903082263,1.19138175278449,2.1661890875175
4.77475528360939,1.16052278021823,2.18291077865563
4.77475528360939,1.16052278021823,2.18291077865563
2.96015483251489,0.905785812789045,1.9947345286776
4.85381903082263,1.19138175278449,2.1661890875175
6.49366946532759,1.32557187239216,2.32131669245155
3.25786020559208,0.980592212805016,1.99686558449991
3.25786032451182,0.980592226848709,1.99686560383019
4.77475528360939,1.16052278021823,2.18291077865563
2.96015472537679,0.905785798504097,1.99473451090094
3.47001736499447,1.03333021823808,1.99419818179714
6.4936696595236,1.32557188531062,2.32131670934036
6.4936696595236,1.32557188531062,2.32131670934036
8.3837649704347,1.44050364812019,2.46307261740448
2.96015472537679,0.905785798504097,1.99473451090094
2.96015472537679,0.905785798504097,1.99473451090094
3.25786032451182,0.980592226848709,1.99686560383019
4.85381903082263,1.19138175278449,2.1661890875175
3.25786032451182,0.980592226848709,1.99686560383019
4.77475528360939,1.16052278021823,2.18291077865563
4.85381903082263,1.19138175278449,2.1661890875175
3.25786032451182,0.980592226848709,1.99686560383019
4.89114233913287,1.13828854381973,2.23093152069976
2.96015483251489,0.905785812789045,1.9947345286776
4.77475528360939,1.16052278021823,2.18291077865563
3.25786020559208,0.980592212805016,1.99686558449991
2.57932126952236,0.79989074924548,1.99266563815297
3.25786032451182,0.980592226848709,1.99686560383019
4.77475528360939,1.16052278021823,2.18291077865563
2.96015472537679,0.905785798504097,1.99473451090094
4.77475528360939,1.16052278021823,2.18291077865563
4.77475528360939,1.16052278021823,2.18291077865563
2.57932126952236,0.79989074924548,1.99266563815297
4.85381903082263,1.19138175278449,2.1661890875175
6.49366946532759,1.32557187239216,2.32131669245155
3.25786032451182,0.980592226848709,1.99686560383019
6.60962652297482,1.31005929255249,2.34843964706472
3.25786032451182,0.980592226848709,1.99686560383019
6.49366946532759,1.32557187239216,2.32131669245155
6.60962652297482,1.31005929255249,2.34843964706472
4.89114174655709,1.13828849282845,2.23093145553975
3.25786032451182,0.980592226848709,1.99686560383019
6.60962652297482,1.31005929255249,2.34843964706472
3.25786032451182,0.980592226848709,1.99686560383019
3.25786032451182,0.980592226848709,1.99686560383019
4.89114174655709,1.13828849282845,2.23093145553975
4.89114174655709,1.13828849282845,2.23093145553975
6.60962634015616,1.31005928102259,2.34843963084468
3.25786020559208,0.980592212805016,1.99686558449991
3.25786032451182,0.980592226848709,1.99686560383019
3.25786032451182,0.980592226848709,1.99686560383019
4.77475528360939,1.16052278021823,2.18291077865563
6.49366946532759,1.32557187239216,2.32131669245155
4.89114174655709,1.13828849282845,2.23093145553975
4.89114233913287,1.13828854381973,2.23093152069976
4.77475528360939,1.16052278021823,2.18291077865563
4.89114174655709,1.13828849282845,2.23093145553975
4.77475528360939,1.16052278021823,2.18291077865563
6.60962652297482,1.31005929255249,2.34843964706472
2.57932126952236,0.79989074924548,1.99266563815297
6.4936696595236,1.32557188531062,2.32131670934036
3.25786020559208,0.980592212805016,1.99686558449991
6.60962652297482,1.31005929255249,2.34843964706472
4.89114174655709,1.13828849282845,2.23093145553975
6.60962634015616,1.31005928102259,2.34843963084468
2.96015472537679,0.905785798504097,1.99473451090094
2.57932126952236,0.79989074924548,1.99266563815297
4.77475528360939,1.16052278021823,2.18291077865563
2.96015483251489,0.905785812789045,1.9947345286776
6.4936696595236,1.32557188531062,2.32131670934036
4.89114233913287,1.13828854381973,2.23093152069976
4.85381935149302,1.1913817808139,2.16618912693349
4.85381903082263,1.19138175278449,2.1661890875175
6.60962652297482,1.31005929255249,2.34843964706472
4.77475528360939,1.16052278021823,2.18291077865563
8.3837649704347,1.44050364812019,2.46307261740448
3.25786032451182,0.980592226848709,1.99686560383019
4.77475528360939,1.16052278021823,2.18291077865563
4.89114174655709,1.13828849282845,2.23093145553975
4.89114233913287,1.13828854381973,2.23093152069976
4.77475528360939,1.16052278021823,2.18291077865563
4.89114174655709,1.13828849282845,2.23093145553975
2.96015472537679,0.905785798504097,1.99473451090094
4.89114174655709,1.13828849282845,2.23093145553975
2.57932126952236,0.79989074924548,1.99266563815297
4.85381903082263,1.19138175278449,2.1661890875175
4.89114174655709,1.13828849282845,2.23093145553975
2.57932126952236,0.79989074924548,1.99266563815297
3.25786032451182,0.980592226848709,1.99686560383019
4.85381935149302,1.1913817808139,2.16618912693349
4.77475528360939,1.16052278021823,2.18291077865563
2.96015472537679,0.905785798504097,1.99473451090094
2.96015472537679,0.905785798504097,1.99473451090094
6.49366946532759,1.32557187239216,2.32131669245155
2.57932126952236,0.79989074924548,1.99266563815297
4.85381903082263,1.19138175278449,2.1661890875175
