Param,Mean,Std_BOOT,CI95_BOOT_L,CI95_BOOT_U
k1,463.533839508738,0.000148363207539154,463.53351719608,463.533839508738
m,1.90711287175728,0.0339492365280013,1.86967148361546,1.95919353230403
n,4.60197870599921,0.0399169720476858,4.53823450472544,4.64277131300536
